case_mass_success,mean_mass,p10_mass,mean_size,median_size,p90_size,top1_coverage,minority_fraction,empty,rep,model,method,selected_method,selected_q
0.8923076923076924,0.9708366670680456,0.8888888888888888,47.406837606837605,42.0,88.0,0.9897435897435898,0.940708491296592,0.0,1,1,global,global,
0.8940170940170941,0.9704386630649103,0.8888888888888888,46.85128205128205,42.0,73.0,0.9897435897435898,0.9390792650851375,0.0,1,1,pacs_cv,adaptive,0.85
0.8991452991452992,0.9730416241745206,0.8993258426966292,50.131623931623935,45.0,82.0,0.9914529914529915,0.9429461191552685,0.0,1,1,safe_pacs,adaptive,0.9
0.9128205128205128,0.9706498578582162,0.9380102040816326,63.31111111111111,60.0,112.60000000000002,0.9794871794871794,0.9590503167158526,0.0,1,2,global,global,
0.9008547008547009,0.9694833014483977,0.9,57.85299145299145,57.0,71.0,0.9829059829059829,0.9518960528895017,0.0,1,2,pacs_cv,adaptive,0.75
0.9128205128205128,0.9706498578582162,0.9380102040816326,63.31111111111111,60.0,112.60000000000002,0.9794871794871794,0.9590503167158526,0.0,1,2,safe_pacs,global,
0.9042735042735043,0.9738510998569786,0.9036363636363637,60.19145299145299,55.0,107.0,0.9880341880341881,0.9524466388410653,0.0,1,3,global,global,
0.9162393162393162,0.9749186828423052,0.9321246169560778,57.53504273504274,57.0,70.0,0.9846153846153847,0.9561104256995896,0.0,1,3,pacs_cv,adaptive,0.75
0.9042735042735043,0.9738510998569786,0.9036363636363637,60.19145299145299,55.0,107.0,0.9880341880341881,0.9524466388410653,0.0,1,3,safe_pacs,global,
0.905982905982906,0.9705023416863549,0.9073863636363637,51.75726495726496,46.0,92.80000000000007,0.9777777777777777,0.9491116651251449,0.0,2,0,global,global,
0.882051282051282,0.9632180376516939,0.8779411764705882,42.827350427350424,40.0,53.0,0.9726495726495726,0.941136166935342,0.0,2,0,pacs_cv,adaptive,0.75
0.882051282051282,0.9632180376516939,0.8779411764705882,42.827350427350424,40.0,53.0,0.9726495726495726,0.941136166935342,0.0,2,0,safe_pacs,adaptive,0.75
0.905982905982906,0.9680361463493153,0.9,46.411965811965814,41.0,86.60000000000002,0.9829059829059829,0.9498533373784512,0.0,2,1,global,global,
0.8923076923076924,0.9662011344864515,0.8888888888888888,48.271794871794874,46.0,60.0,0.9811965811965812,0.948329047398279,0.0,2,1,pacs_cv,adaptive,0.65
0.8888888888888888,0.9651895821533776,0.8888888888888888,45.05128205128205,42.0,61.0,0.9794871794871794,0.948321749517678,0.0,2,1,safe_pacs,adaptive,0.75
0.8974358974358975,0.9688213830575992,0.8963926670609108,51.28034188034188,48.0,90.0,0.9829059829059829,0.954449845470802,0.0,2,2,global,global,
0.8752136752136752,0.9648025096861028,0.8823529411764706,46.13846153846154,48.0,65.60000000000002,0.9794871794871794,0.9493638167355142,0.0,2,2,pacs_cv,adaptive,0.85
0.8803418803418803,0.9665758128625522,0.8876310272536687,48.873504273504274,47.0,59.0,0.9811965811965812,0.9511342113853146,0.0,2,2,safe_pacs,adaptive,0.65
0.9128205128205128,0.9717312837713649,0.9220779220779222,62.15042735042735,55.0,116.0,0.9811965811965812,0.9575771842123914,0.0,2,3,global,global,
0.8888888888888888,0.9619712231627472,0.88,51.656410256410254,48.0,63.0,0.9726495726495726,0.9484477818040005,0.0,2,3,pacs_cv,adaptive,0.65
0.8888888888888888,0.9619712231627472,0.88,51.656410256410254,48.0,63.0,0.9726495726495726,0.9484477818040005,0.0,2,3,safe_pacs,adaptive,0.65
0.9162393162393162,0.9767267702473093,0.9170103092783505,52.406837606837605,48.0,99.60000000000002,0.9948717948717949,0.9532599529054399,0.0,3,0,global,global,
0.9196581196581196,0.9760483084253903,0.9230769230769231,56.81880341880342,55.0,66.0,0.9914529914529915,0.9537908618735397,0.0,3,0,pacs_cv,adaptive,0.75
