case_mass_success,mean_mass,p10_mass,mean_size,median_size,p90_size,top1_coverage,minority_fraction,empty,rep,model,method,selected_q
0.9162393162393162,0.9767267702473093,0.9170103092783505,52.406837606837605,48.0,99.60000000000002,0.9948717948717949,0.9532599529054399,0.0,3,0,global,
0.6153846153846154,0.874783130400465,0.6087301587301588,10.885470085470086,10.0,19.0,0.9401709401709402,0.7840330497547573,0.0,3,0,top1_cp,
0.7333333333333333,0.9188054911516457,0.75,16.41196581196581,15.0,29.0,0.9623931623931624,0.8581227651404005,0.0,3,0,mccp10,
0.9179487179487179,0.9762958119521091,0.9230769230769231,63.873504273504274,53.0,118.20000000000005,0.9948717948717949,0.9520781680766213,0.0,3,0,pacs_effcv,0.95
0.9247863247863248,0.9750738449747113,0.9280550774526679,50.92136752136752,46.0,96.0,0.9846153846153847,0.9593145915946456,0.0,3,1,global,
0.5914529914529915,0.8583088737736035,0.5677018633540373,9.011965811965812,8.0,15.0,0.9230769230769231,0.7675109064335012,0.0,3,1,top1_cp,
0.7350427350427351,0.9137598813855173,0.721097770154374,16.064957264957265,15.0,29.0,0.9452991452991453,0.8701565821817919,0.0,3,1,mccp10,
0.9179487179487179,0.9770573208814601,0.9295566502463054,50.84615384615385,50.0,73.0,0.9880341880341881,0.9609684025621819,0.0,3,1,pacs_effcv,0.85
0.905982905982906,0.969146757602656,0.9,52.68888888888889,48.0,96.0,0.9811965811965812,0.9523928989744739,0.0,3,2,global,
0.5726495726495726,0.8323076915954074,0.5,11.285470085470086,10.0,19.0,0.8871794871794871,0.7543586781657041,0.0,3,2,top1_cp,
0.6786324786324787,0.8784374809576505,0.6470588235294117,16.43076923076923,15.0,30.0,0.9162393162393162,0.8292040706211309,0.0,3,2,mccp10,
0.9025641025641026,0.966601984639338,0.9,52.91794871794872,50.0,64.0,0.976068376068376,0.9579234126813094,0.0,3,2,pacs_effcv,0.65
0.9264957264957265,0.9744539782728112,0.9285714285714286,64.67350427350428,58.0,118.0,0.9863247863247864,0.9594718883695063,0.0,3,3,global,
0.6358974358974359,0.8664454368581478,0.5917241379310345,12.536752136752137,12.0,22.0,0.9179487179487179,0.7974617829011468,0.0,3,3,top1_cp,
0.747008547008547,0.9135711272308213,0.7165714285714286,19.700854700854702,18.0,34.0,0.9521367521367521,0.8600882609405696,0.0,3,3,mccp10,
0.9076923076923077,0.9702590395584418,0.9036363636363637,54.37264957264957,52.0,67.0,0.9811965811965812,0.953576524211345,0.0,3,3,pacs_effcv,0.65
0.9128205128205128,0.9703170491024419,0.915819209039548,48.924786324786325,44.0,93.60000000000002,0.9846153846153847,0.9515646888342961,0.0,4,0,global,
0.46153846153846156,0.8011317018943537,0.4536931818181818,7.1008547008547005,7.0,12.0,0.8786324786324786,0.6878552155078296,0.0,4,0,top1_cp,
0.6752136752136753,0.8951190091909297,0.6723404255319152,14.485470085470086,13.0,26.0,0.9452991452991453,0.8273948153225035,0.0,4,0,mccp10,
0.9264957264957265,0.9714090446645456,0.9230769230769231,48.452991452991455,49.0,72.60000000000002,0.9829059829059829,0.957516904681027,0.0,4,0,pacs_effcv,0.85
0.8735042735042735,0.9644941400995003,0.875,40.28547008547009,36.0,74.0,0.9880341880341881,0.9380651935930634,0.0,4,1,global,
0.535042735042735,0.8348540377789179,0.5,8.728205128205127,8.0,15.0,0.9128205128205128,0.740499764146324,0.0,4,1,top1_cp,
0.6564102564102564,0.8875479400138215,0.6666666666666666,13.788034188034189,13.0,24.0,0.9504273504273504,0.8212078748290457,0.0,4,1,mccp10,
0.8632478632478633,0.9608379963306262,0.8673684210526316,40.27008547008547,36.0,67.0,0.9880341880341881,0.9353550602739558,0.0,4,1,pacs_effcv,0.85
0.9367521367521368,0.9789464143472575,0.9473684210526315,58.04786324786325,53.0,108.0,0.9931623931623932,0.965630520836273,0.0,4,2,global,
0.6273504273504273,0.8658894268513014,0.6152173913043479,11.57948717948718,11.0,19.0,0.9162393162393162,0.7956448373613327,0.0,4,2,top1_cp,
0.7675213675213676,0.913363584788714,0.7101045296167249,19.205128205128204,18.0,34.0,0.9401709401709402,0.8782888386367709,0.0,4,2,mccp10,
0.9418803418803419,0.9793245672612796,0.9502392344497608,61.36068376068376,59.0,87.0,0.9914529914529915,0.9715769589712908,0.0,4,2,pacs_effcv,0.85
0.8735042735042735,0.9580030889788295,0.8717391304347827,49.52136752136752,45.0,93.60000000000002,0.9692307692307692,0.9382442137346401,0.0,4,3,global,
0.5299145299145299,0.8129496718407302,0.4,10.478632478632479,10.0,18.0,0.8615384615384616,0.7387799675206337,0.0,4,3,top1_cp,
0.6393162393162393,0.8682338969313622,0.5795918367346939,15.68034188034188,15.0,27.0,0.9111111111111111,0.806561420020664,0.0,4,3,mccp10,
0.8803418803418803,0.9642806282542141,0.8779411764705882,49.74700854700855,49.0,59.0,0.9777777777777777,0.9419353899626205,0.0,4,3,pacs_effcv,0.65
