success,mean_size,p90_size,mean_mass,method,rep,ntrain,ncal,ntest
0.9391304347826087,12.621739130434783,13.0,0.9246946169772257,pacs_mondrian_q0.90,20,338,242,230
0.9137931034482759,11.030172413793103,14.0,0.8995925697865353,top1_cp,21,340,238,232
0.9224137931034483,12.491379310344827,16.0,0.9231434729064041,mccp10,21,340,238,232
0.9353448275862069,13.491379310344827,16.0,0.9398532430213465,global_panel,21,340,238,232
0.9655172413793104,13.133620689655173,15.0,0.9472229064039408,pacs_mondrian_q0.90,21,340,238,232
0.7857142857142857,8.722689075630251,11.0,0.8105082032813126,top1_cp,22,328,244,238
0.8781512605042017,11.197478991596638,14.0,0.8680882352941177,mccp10,22,328,244,238
0.8697478991596639,10.806722689075631,13.0,0.8631162464985995,global_panel,22,328,244,238
0.8991596638655462,11.172268907563025,13.0,0.8865026010404161,pacs_mondrian_q0.90,22,328,244,238
0.869198312236287,11.721518987341772,14.0,0.8885081374321881,top1_cp,23,330,243,237
0.869198312236287,11.721518987341772,14.0,0.8885081374321881,mccp10,23,330,243,237
0.8860759493670886,12.468354430379748,16.0,0.9002521599357043,global_panel,23,330,243,237
0.9409282700421941,13.358649789029537,14.0,0.9424080771549127,pacs_mondrian_q0.90,23,330,243,237
0.9051383399209486,12.403162055335969,16.0,0.9117786561264822,top1_cp,24,323,234,253
0.9209486166007905,12.885375494071146,16.0,0.9284396762657632,mccp10,24,323,234,253
0.9407114624505929,13.438735177865613,16.0,0.9444212309429701,global_panel,24,323,234,253
0.9723320158102767,13.474308300395258,15.0,0.9548701298701299,pacs_mondrian_q0.90,24,323,234,253
0.7745901639344263,8.131147540983607,11.0,0.823735362997658,top1_cp,25,322,244,244
0.8934426229508197,10.76639344262295,13.0,0.8872140905542546,mccp10,25,322,244,244
0.8934426229508197,10.774590163934427,13.0,0.8872140905542546,global_panel,25,322,244,244
0.9139344262295082,11.565573770491802,12.0,0.8996184621389539,pacs_mondrian_q0.90,25,322,244,244
0.9106382978723404,12.336170212765957,16.0,0.9065906788247213,top1_cp,26,318,257,235
0.9106382978723404,12.442553191489361,16.0,0.9073991894630193,mccp10,26,318,257,235
0.9404255319148936,13.672340425531916,16.0,0.9364721377912867,global_panel,26,318,257,235
0.9617021276595744,13.948936170212766,15.0,0.9596261398176292,pacs_mondrian_q0.90,26,318,257,235
0.8893280632411067,12.505928853754941,16.0,0.8991003199698852,top1_cp,27,322,235,253
0.9051383399209486,12.881422924901186,16.0,0.9157811029550159,mccp10,27,322,235,253
0.932806324110672,14.296442687747035,16.0,0.9482025221155658,global_panel,27,322,235,253
0.9288537549407114,13.189723320158103,14.0,0.9302766798418973,pacs_mondrian_q0.90,27,322,235,253
0.7777777777777778,8.924444444444445,11.0,0.8210137566137566,top1_cp,28,335,250,225
0.8577777777777778,11.084444444444445,13.0,0.8730402116402116,mccp10,28,335,250,225
0.8577777777777778,10.755555555555556,13.0,0.8682465608465608,global_panel,28,335,250,225
0.8977777777777778,11.991111111111111,13.0,0.901683597883598,pacs_mondrian_q0.90,28,335,250,225
0.9196787148594378,12.518072289156626,16.0,0.9145553643144004,top1_cp,29,322,239,249
0.9317269076305221,12.847389558232932,16.0,0.924689233122968,mccp10,29,322,239,249
0.9357429718875502,13.329317269076306,16.0,0.9386001147446931,global_panel,29,322,239,249
0.9718875502008032,13.666666666666666,15.0,0.9619506597819851,pacs_mondrian_q0.90,29,322,239,249
