success,mean_size,p90_size,p95_size,mean_mass,minority,method,rep,q
0.8976666666666666,1.0863333333333334,1.0,2.0,0.8872579275328814,0.0081357721500344,global_panel,10,0.7
0.9706666666666667,1.8363333333333334,3.0,4.0,0.9567358539014512,0.01962949594308619,pacs_mondrian,10,0.7
0.8833333333333333,1.0403333333333333,1.0,1.0,0.8737924297537552,0.008015108308990476,top1_cp,11,0.7
0.9086666666666666,1.1286666666666667,2.0,2.0,0.8980593945364569,0.010080311771779578,mccp10,11,0.7
0.8986666666666666,1.0863333333333334,1.0,2.0,0.8880981832876582,0.008863801018563688,global_panel,11,0.7
0.969,1.7353333333333334,3.0,4.0,0.9545329502526863,0.019805512820373898,pacs_mondrian,11,0.7
0.894,1.0413333333333334,1.0,1.0,0.8873737129321186,0.007986928990147454,top1_cp,12,0.7
0.914,1.11,2.0,2.0,0.905756145730266,0.009922141438689932,mccp10,12,0.7
0.9073333333333333,1.0843333333333334,1.0,2.0,0.8996613162349371,0.009027445330049,global_panel,12,0.7
0.973,1.885,3.0,4.0,0.961721558887379,0.02176632184271952,pacs_mondrian,12,0.7
0.8793333333333333,1.0233333333333334,1.0,1.0,0.8696017806044929,0.00622011645216769,top1_cp,13,0.7
0.9096666666666666,1.1153333333333333,2.0,2.0,0.8973720011075693,0.008795013926703973,mccp10,13,0.7
0.9016666666666666,1.0856666666666666,1.0,2.0,0.8899962904416313,0.007797783249762053,global_panel,13,0.7
0.9713333333333334,1.6553333333333333,3.0,3.0,0.9561663594873008,0.018209388807165435,pacs_mondrian,13,0.7
0.8773333333333333,1.0286666666666666,1.0,1.0,0.8687698623986607,0.006255019178467144,top1_cp,14,0.7
0.9123333333333333,1.141,2.0,2.0,0.9019137624978513,0.008688782735767028,mccp10,14,0.7
0.9013333333333333,1.0996666666666666,1.0,2.0,0.8916097230246699,0.007810195546063045,global_panel,14,0.7
0.9736666666666667,1.8123333333333334,3.0,4.0,0.9585536995764925,0.01880859073403574,pacs_mondrian,14,0.7
0.8753333333333333,1.031,1.0,1.0,0.8685220914144545,0.007339899428561893,top1_cp,15,0.7
0.905,1.1263333333333334,2.0,2.0,0.8960998004694364,0.009073927073431591,mccp10,15,0.7
0.8973333333333333,1.0886666666666667,1.0,2.0,0.8889450861246866,0.008446665954986471,global_panel,15,0.7
0.9666666666666667,1.792,3.0,3.0,0.9536237591394133,0.01892111711020764,pacs_mondrian,15,0.7
0.8713333333333333,1.0136666666666667,1.0,1.0,0.8609791275169476,0.006783572546907863,top1_cp,16,0.7
0.9023333333333333,1.1076666666666666,2.0,2.0,0.8906277045050083,0.008659353573875424,mccp10,16,0.7
0.8926666666666667,1.078,1.0,2.0,0.8816042882996344,0.008024727014984401,global_panel,16,0.7
0.9716666666666667,1.8226666666666667,4.0,4.0,0.9582216296427449,0.020039955823367463,pacs_mondrian,16,0.7
0.889,1.0483333333333333,1.0,2.0,0.8794670333108964,0.008136914168109665,top1_cp,17,0.7
0.9133333333333333,1.1493333333333333,2.0,2.0,0.902822376026457,0.010469808512854752,mccp10,17,0.7
0.9066666666666666,1.1153333333333333,2.0,2.0,0.8962722704314737,0.009852380769737146,global_panel,17,0.7
0.971,1.7796666666666667,3.0,3.0,0.956267352644589,0.019454909488925486,pacs_mondrian,17,0.7
0.898,1.047,1.0,2.0,0.8881612644661674,0.007269003070130916,top1_cp,18,0.7
