case_mass_success,mean_mass,p10_mass,mean_size,median_size,p90_size,top1_coverage,minority_fraction,empty,method,q_mass,alpha_case,model,rep,ntrain,ncal,ntest
0.811965811965812,0.8386051558701643,0.5384615384615385,11.553846153846154,11.0,20.0,0.8957264957264958,0.7723595384196114,0.0,top1_cp,0.7,0.1,2,0,778,584,585
0.8940170940170941,0.903141249422203,0.6816842105263158,20.702564102564104,18.0,38.0,0.9401709401709402,0.8592117048466417,0.0,mccp10,0.7,0.1,2,0,778,584,585
0.8905982905982905,0.9004717837575485,0.6718379446640316,20.015384615384615,18.0,37.0,0.9384615384615385,0.855497907555341,0.0,soft_exact,0.7,0.1,2,0,778,584,585
0.905982905982906,0.9093285436422371,0.7058823529411765,22.873504273504274,20.0,43.0,0.9435897435897436,0.8713405592563368,0.0,panel_quantile_global,0.7,0.1,2,0,778,584,585
0.8940170940170941,0.9041665286297909,0.6778823529411765,28.234188034188033,22.0,61.60000000000002,0.9487179487179487,0.840879220227888,0.0,pacs,0.7,0.1,2,0,778,584,585
0.8427350427350427,0.8567494436842249,0.5714285714285714,11.283760683760685,10.0,20.0,0.9111111111111111,0.7747004810945805,0.0,top1_cp,0.7,0.1,3,0,778,584,585
0.905982905982906,0.9134071682950053,0.7194805194805196,19.283760683760683,18.0,35.0,0.9538461538461539,0.8594236926419179,0.0,mccp10,0.7,0.1,3,0,778,584,585
0.9042735042735043,0.9100220114449362,0.7142857142857144,18.533333333333335,17.0,34.0,0.9521367521367521,0.8540185899517472,0.0,soft_exact,0.7,0.1,3,0,778,584,585
0.905982905982906,0.9134071682950053,0.7194805194805196,19.283760683760683,18.0,35.0,0.9538461538461539,0.8594236926419179,0.0,panel_quantile_global,0.7,0.1,3,0,778,584,585
0.9008547008547009,0.9094234100966062,0.7142857142857144,22.977777777777778,17.0,52.0,0.9572649572649573,0.8401679785932494,0.0,pacs,0.7,0.1,3,0,778,584,585
0.7965811965811965,0.8795190505668534,0.6446753246753248,12.370940170940171,12.0,21.600000000000023,0.9299145299145299,0.8173679273293712,0.0,top1_cp,0.8,0.1,0,0,778,584,585
0.8461538461538461,0.9055912731605156,0.7142857142857144,15.96068376068376,15.0,29.0,0.9452991452991453,0.852124352230187,0.0,mccp10,0.8,0.1,0,0,778,584,585
0.8444444444444444,0.9043519569211993,0.7142857142857143,15.784615384615385,14.0,29.0,0.9435897435897436,0.8515308099699782,0.0,soft_exact,0.8,0.1,0,0,778,584,585
0.9179487179487179,0.9454550711510019,0.823529411764706,27.782905982905984,26.0,51.0,0.9726495726495726,0.9113425227219484,0.0,panel_quantile_global,0.8,0.1,0,0,778,584,585
0.905982905982906,0.9416885489846974,0.8,32.23931623931624,27.0,62.60000000000002,0.9726495726495726,0.8821238055193125,0.0,pacs,0.8,0.1,0,0,778,584,585
0.7111111111111111,0.8366107014133705,0.5714285714285714,9.14017094017094,9.0,15.0,0.905982905982906,0.7416697698546573,0.0,top1_cp,0.8,0.1,1,0,778,584,585
0.8102564102564103,0.8907793975742387,0.6666666666666666,15.087179487179487,14.0,26.600000000000023,0.9418803418803419,0.8337254190160657,0.0,mccp10,0.8,0.1,1,0,778,584,585
0.8085470085470086,0.8896090541699976,0.6666666666666666,14.767521367521368,14.0,26.0,0.9418803418803419,0.8295539455342473,0.0,soft_exact,0.8,0.1,1,0,778,584,585
0.8854700854700854,0.9345785265097087,0.7777777777777777,24.724786324786326,22.0,43.60000000000002,0.9692307692307692,0.8963012925504117,0.0,panel_quantile_global,0.8,0.1,1,0,778,584,585
0.9042735042735043,0.9351205477640614,0.8,33.957264957264954,25.0,74.60000000000002,0.9692307692307692,0.8827824278787262,0.0,pacs,0.8,0.1,1,0,778,584,585
0.7401709401709402,0.8386051558701643,0.5384615384615385,11.553846153846154,11.0,20.0,0.8957264957264958,0.7723595384196114,0.0,top1_cp,0.8,0.1,2,0,778,584,585
0.8478632478632478,0.903141249422203,0.6816842105263158,20.702564102564104,18.0,38.0,0.9401709401709402,0.8592117048466417,0.0,mccp10,0.8,0.1,2,0,778,584,585
0.8444444444444444,0.9004717837575485,0.6718379446640316,20.015384615384615,18.0,37.0,0.9384615384615385,0.855497907555341,0.0,soft_exact,0.8,0.1,2,0,778,584,585
