success,mean_size,p90_size,p95_size,mean_mass,minority,method,rep,q,gate_gate_threshold,gate_train_gate_rate,gate_cal_gate_rate,gate_use_high_pacs,gate_low_threshold,gate_global_threshold,gate_constant_gate
0.901,1.146,2.0,2.0,0.8935668403320663,0.00979030264441228,mccp10,10,0.7,,,,,,,
0.8846666666666667,1.077,1.0,2.0,0.8774467465166946,0.008317656552687498,global_panel,10,0.7,,,,,,,
0.9336666666666666,1.69,4.0,4.0,0.9207472320791289,0.01940562694000864,pacs_gated,10,0.7,0.0094540044697093,0.652,0.6366666666666667,True,0.9529680021720658,0.2643733722823625,
0.898,1.0696666666666668,1.0,2.0,0.8884663486839695,0.008543205603236494,top1_cp,11,0.7,,,,,,,
0.9226666666666666,1.1673333333333333,2.0,2.0,0.9115490738118731,0.010676047081986379,mccp10,11,0.7,,,,,,,
0.9166666666666666,1.1293333333333333,2.0,2.0,0.9056498735963896,0.00981623226168638,global_panel,11,0.7,,,,,,,
0.9756666666666667,1.793,3.0,4.0,0.9594144037095572,0.020558328854145207,pacs_gated,11,0.7,0.009882886737587006,0.984,0.986,True,0.20545972225954562,0.20545972225954562,
0.8716666666666667,1.0256666666666667,1.0,1.0,0.8609450009171078,0.007292429906092452,top1_cp,12,0.7,,,,,,,
0.9043333333333333,1.1306666666666667,2.0,2.0,0.892029860602524,0.009553131945544177,mccp10,12,0.7,,,,,,,
0.8923333333333333,1.08,1.0,2.0,0.8804841734500395,0.008532846440898264,global_panel,12,0.7,,,,,,,
0.939,1.854,3.0,4.0,0.9252639937716227,0.02206986988849057,pacs_gated,12,0.7,0.011175152801253774,0.653,0.663,True,0.9620070088163704,0.26368543250883336,
0.904,1.0666666666666667,1.0,2.0,0.8934559650874421,0.006788911367394006,top1_cp,13,0.7,,,,,,,
0.9283333333333333,1.1736666666666666,2.0,2.0,0.9162657823066517,0.009589711134734202,mccp10,13,0.7,,,,,,,
0.9196666666666666,1.1283333333333334,2.0,2.0,0.9079716819103536,0.008616298150769449,global_panel,13,0.7,,,,,,,
0.9506666666666667,1.7123333333333333,3.0,4.0,0.9365723516036172,0.01752381091683919,pacs_gated,13,0.7,0.008779805501175299,0.73925,0.7483333333333333,True,0.9488548051436139,0.20498895392184738,
0.8816666666666667,1.039,1.0,1.0,0.8727582402713564,0.007945212156108916,top1_cp,14,0.7,,,,,,,
0.9103333333333333,1.1246666666666667,2.0,2.0,0.899399679794802,0.009875717953774824,mccp10,14,0.7,,,,,,,
0.9033333333333333,1.0983333333333334,1.0,2.0,0.8928579627547634,0.009183724572430456,global_panel,14,0.7,,,,,,,
0.9513333333333334,1.6743333333333332,3.0,4.0,0.9367885627506843,0.01843904376825956,pacs_gated,14,0.7,0.014039021438655356,0.68425,0.6826666666666666,True,0.9402776993206364,0.24384257977820875,
0.8623333333333333,1.0163333333333333,1.0,1.0,0.8571970742879766,0.00797412763059425,top1_cp,15,0.7,,,,,,,
0.8966666666666666,1.1143333333333334,2.0,2.0,0.8896839857947861,0.01039523664369708,mccp10,15,0.7,,,,,,,
0.8786666666666667,1.062,1.0,2.0,0.8732686521525744,0.009468807435053798,global_panel,15,0.7,,,,,,,
0.9406666666666667,1.6663333333333334,3.0,4.0,0.9277344935923368,0.021219906528089243,pacs_gated,15,0.7,0.008302474586676503,0.669,0.6823333333333333,True,0.9541585660896685,0.2784012975313334,
0.8833333333333333,1.0433333333333332,1.0,1.0,0.8772824581581842,0.00876194712204455,top1_cp,16,0.7,,,,,,,
0.9213333333333333,1.1776666666666666,2.0,2.0,0.9117054337366319,0.01183294885737602,mccp10,16,0.7,,,,,,,
0.904,1.1126666666666667,2.0,2.0,0.8961512836488364,0.010384924326384527,global_panel,16,0.7,,,,,,,
0.958,1.822,4.0,4.0,0.9445538382351971,0.022246972230828683,pacs_gated,16,0.7,0.004781905936903283,0.8255,0.839,True,0.9713363556875092,0.2302004968842905,
0.8763333333333333,1.0103333333333333,1.0,1.0,0.8671255649768326,0.00684215608443609,top1_cp,17,0.7,,,,,,,
0.9153333333333333,1.1303333333333334,2.0,2.0,0.9038585090778782,0.010149483586326401,mccp10,17,0.7,,,,,,,
0.9013333333333333,1.0833333333333333,1.0,2.0,0.8913329504035532,0.008951423826634835,global_panel,17,0.7,,,,,,,
0.9516666666666667,1.7606666666666666,3.0,5.0,0.936992456045077,0.020617046392244168,pacs_gated,17,0.7,0.011809914964457283,0.741,0.7376666666666667,True,0.9530953914032239,0.2578136965649017,
0.8896666666666667,1.0513333333333332,1.0,2.0,0.8798549257719713,0.007022152490969121,top1_cp,18,0.7,,,,,,,
0.914,1.151,2.0,2.0,0.9037793816566511,0.009099180075157665,mccp10,18,0.7,,,,,,,
0.903,1.1026666666666667,2.0,2.0,0.893137299169034,0.008330299342624905,global_panel,18,0.7,,,,,,,
0.943,1.7393333333333334,3.0,4.0,0.9301360600801118,0.018886918132092343,pacs_gated,18,0.7,0.014017381003340282,0.6425,0.6443333333333333,True,0.9470389111207052,0.23645749495457571,
0.8633333333333333,0.994,1.0,1.0,0.8548651271311553,0.005850596801833131,top1_cp,19,0.7,,,,,,,
0.896,1.0836666666666666,1.0,2.0,0.8870417581716807,0.008223562750670335,mccp10,19,0.7,,,,,,,
0.886,1.05,1.0,2.0,0.8773263329347151,0.007411485619382405,global_panel,19,0.7,,,,,,,
0.939,1.6803333333333332,3.099999999999909,4.0,0.9263287653500049,0.017549006815858862,pacs_gated,19,0.7,0.013387659535812892,0.66775,0.6506666666666666,True,0.956879904441633,0.29823710903412065,
