case_mass_success,mean_mass,p10_mass,mean_size,median_size,p90_size,top1_coverage,minority_fraction,empty,rep,model,method,q,gate_gate_threshold,gate_train_gate_rate,gate_cal_gate_rate,gate_use_high_pacs,gate_low_threshold,gate_global_threshold,gate_constant_gate
0.9162393162393162,0.9731265918366281,0.9280550774526679,55.65811965811966,53.0,92.60000000000002,0.9811965811965812,0.9596478843917553,0.0,3,1,pacs_gated,0.9,0.813614822103702,0.8547557840616966,0.8493150684931506,True,0.00044320076069205767,0.00040500880841507153,
0.8905982905982905,0.9669580953995374,0.8899598393574297,50.21880341880342,47.0,91.20000000000005,0.9811965811965812,0.9448857030943686,0.0,3,2,global,0.9,,,,,,,
0.6085470085470085,0.8613876391537779,0.6143356643356643,12.188034188034187,12.0,21.0,0.9213675213675213,0.7835018707701109,0.0,3,2,top1_cp,0.9,,,,,,,
0.7350427350427351,0.9153458287781717,0.7296969696969697,19.74871794871795,18.0,36.0,0.9538461538461539,0.863092790229645,0.0,3,2,mccp10,0.9,,,,,,,
0.9076923076923077,0.9668745302755148,0.9152380952380952,54.55897435897436,56.0,86.60000000000002,0.9794871794871794,0.9500001522368274,0.0,3,2,pacs_gated,0.9,0.7561637652700066,0.8868894601542416,0.8835616438356164,True,6.260781383083269e-05,0.00029898351292234826,
0.905982905982906,0.9699592908046056,0.9,55.96923076923077,50.0,103.60000000000002,0.9794871794871794,0.9530346659423481,0.0,3,3,global,0.9,,,,,,,
0.5521367521367522,0.8267208954755527,0.4444444444444444,10.114529914529914,9.0,17.0,0.8769230769230769,0.7504513669525639,0.0,3,3,top1_cp,0.9,,,,,,,
0.7230769230769231,0.90270019219098,0.6953846153846154,17.203418803418803,16.0,29.0,0.9401709401709402,0.8443832281389358,0.0,3,3,mccp10,0.9,,,,,,,
0.9196581196581196,0.9750014792272435,0.9333333333333333,63.0974358974359,56.0,94.0,0.9846153846153847,0.9612189978138713,0.0,3,3,pacs_gated,0.9,0.7502389471788129,0.8804627249357326,0.9297945205479452,True,1.4939625028241253e-05,0.0002458891816323456,
0.8974358974358975,0.9656765700541937,0.8912280701754386,48.16581196581197,43.0,93.0,0.9811965811965812,0.9489019582537481,0.0,4,0,global,0.9,,,,,,,
0.5726495726495726,0.8433889553583397,0.5317006802721088,8.786324786324787,8.0,15.0,0.9094017094017094,0.7552917677186038,0.0,4,0,top1_cp,0.9,,,,,,,
0.7145299145299145,0.8983661340622798,0.7077399380804954,13.788034188034189,13.0,24.0,0.9384615384615385,0.8431138249365234,0.0,4,0,mccp10,0.9,,,,,,,
0.9145299145299145,0.9702144661507229,0.9273109243697479,50.78803418803419,56.0,75.0,0.9863247863247864,0.9555706258878804,0.0,4,0,pacs_gated,0.9,0.807653473883502,0.8817480719794345,0.8544520547945206,True,0.0007398110984981375,0.0004260764551003065,
0.9076923076923077,0.9708156279544212,0.9121212121212121,47.794871794871796,42.0,91.60000000000002,0.9863247863247864,0.9534891369351042,0.0,4,1,global,0.9,,,,,,,
0.5555555555555556,0.8291404094260517,0.5,8.441025641025641,8.0,14.0,0.8905982905982905,0.7377535426388362,0.0,4,1,top1_cp,0.9,,,,,,,
0.7230769230769231,0.8995226851856006,0.6723404255319151,15.432478632478633,14.0,28.0,0.9333333333333333,0.8617376822211533,0.0,4,1,mccp10,0.9,,,,,,,
0.9145299145299145,0.9724771143750615,0.9295566502463054,56.83931623931624,50.0,103.0,0.9863247863247864,0.9600745632930869,0.0,4,1,pacs_gated,0.9,0.8663762367770883,0.890745501285347,0.8784246575342466,True,0.0006541801835215463,0.00043510733876838694,
0.9145299145299145,0.9779006617883511,0.9230769230769231,59.00854700854701,55.0,105.0,0.9931623931623932,0.9591303799397547,0.0,4,2,global,0.9,,,,,,,
0.6153846153846154,0.8544024404046807,0.5794871794871795,12.504273504273504,12.0,21.600000000000023,0.9213675213675213,0.785246680013657,0.0,4,2,top1_cp,0.9,,,,,,,
0.764102564102564,0.9161636192672995,0.7142857142857144,20.803418803418804,19.0,37.0,0.9538461538461539,0.8718290786937463,0.0,4,2,mccp10,0.9,,,,,,,
0.9247863247863248,0.9801453111910088,0.9285714285714286,64.15726495726496,49.0,109.0,0.9931623931623932,0.9637811515302777,0.0,4,2,pacs_gated,0.9,0.8545838335962838,0.8676092544987146,0.8595890410958904,True,7.687960185716096e-05,0.00022409361917036415,
0.8803418803418803,0.9641450640608953,0.877,52.64957264957265,48.0,100.0,0.9777777777777777,0.9417805476089246,0.0,4,3,global,0.9,,,,,,,
0.6170940170940171,0.8626099843143763,0.6276315789473685,12.148717948717948,12.0,22.0,0.9076923076923077,0.7884584553188402,0.0,4,3,top1_cp,0.9,,,,,,,
0.7213675213675214,0.9050914111133918,0.7142857142857142,18.198290598290598,17.0,32.0,0.9333333333333333,0.8508186973833577,0.0,4,3,mccp10,0.9,,,,,,,
0.8923076923076924,0.9678545544976124,0.8888888888888888,52.758974358974356,48.0,85.0,0.9794871794871794,0.9474874901093555,0.0,4,3,pacs_gated,0.9,0.7371949131002684,0.8663239074550129,0.8561643835616438,True,0.00022609020211684713,0.0002799011967265234,
0.9025641025641026,0.9757906055681127,0.9,52.401709401709404,48.0,95.0,0.9914529914529915,0.9502270095999757,0.0,5,0,global,0.9,,,,,,,
0.5504273504273505,0.8403558370668174,0.5287764866712236,8.945299145299145,8.0,15.0,0.8888888888888888,0.7603816250891805,0.0,5,0,top1_cp,0.9,,,,,,,
0.705982905982906,0.9110016823706736,0.730703259005146,16.57777777777778,16.0,29.0,0.9504273504273504,0.8579772552446712,0.0,5,0,mccp10,0.9,,,,,,,
0.8854700854700854,0.9704419695258786,0.8876310272536687,49.36239316239316,51.0,75.20000000000005,0.9863247863247864,0.9469070847430178,0.0,5,0,pacs_gated,0.9,0.8160978389455306,0.8933161953727506,0.9006849315068494,True,8.742188173852004e-05,0.00036078595436107007,
0.9145299145299145,0.9778947054314702,0.9230769230769231,47.87521367521367,43.0,92.60000000000002,0.9931623931623932,0.9561893309534197,0.0,5,1,global,0.9,,,,,,,
0.5948717948717949,0.858871905695146,0.5714285714285714,10.2,10.0,17.600000000000023,0.9213675213675213,0.7895676460356557,0.0,5,1,top1_cp,0.9,,,,,,,
0.694017094017094,0.9040234452064401,0.7014814814814815,15.892307692307693,15.0,28.0,0.9521367521367521,0.8513094652482941,0.0,5,1,mccp10,0.9,,,,,,,
0.9145299145299145,0.9779023047171107,0.9271818983250075,58.53846153846154,62.0,100.0,0.9880341880341881,0.9625531274630119,0.0,5,1,pacs_gated,0.9,0.7656040864019941,0.8830334190231363,0.8801369863013698,True,0.0007637768288239295,0.0004727938752390226,
0.8940170940170941,0.9662470054413239,0.8896969696969698,48.39316239316239,45.0,87.0,0.9777777777777777,0.9443209656419247,0.0,5,2,global,0.9,,,,,,,
0.6153846153846154,0.8545266754328548,0.5494949494949496,12.008547008547009,11.0,20.600000000000023,0.9094017094017094,0.7733549768404105,0.0,5,2,top1_cp,0.9,,,,,,,
0.7076923076923077,0.894124004981403,0.6666666666666666,17.429059829059828,16.0,31.0,0.9299145299145299,0.8340640453764591,0.0,5,2,mccp10,0.9,,,,,,,
