rep,dataset,q,global_success,pacs_success,global_mean_size,pacs_mean_size,global_p90_size,pacs_p90_size
8,CIFAR-10H,0.7,0.894,0.9713333333333334,1.0786666666666669,1.8373333333333333,1.0,3.0
9,CIFAR-10H,0.7,0.9003333333333333,0.9683333333333334,1.087,1.707,1.0,3.0
10,CIFAR-10H,0.7,0.8976666666666666,0.9696666666666668,1.0863333333333334,1.746,1.0,3.0
11,CIFAR-10H,0.7,0.8986666666666666,0.969,1.0863333333333334,1.7353333333333334,1.0,3.0
12,CIFAR-10H,0.7,0.9073333333333332,0.971,1.0843333333333334,1.8076666666666668,1.0,3.0
13,CIFAR-10H,0.7,0.9016666666666666,0.9713333333333334,1.0856666666666666,1.655333333333333,1.0,3.0
14,CIFAR-10H,0.7,0.9013333333333332,0.9683333333333334,1.0996666666666666,1.7233333333333334,1.0,3.0
15,CIFAR-10H,0.7,0.8973333333333333,0.9586666666666668,1.088666666666667,1.602,1.0,3.0
16,CIFAR-10H,0.7,0.8926666666666667,0.9716666666666668,1.078,1.8226666666666669,1.0,4.0
17,CIFAR-10H,0.7,0.9066666666666666,0.968,1.1153333333333333,1.6023333333333334,2.0,3.0
18,CIFAR-10H,0.7,0.9106666666666666,0.9766666666666668,1.0896666666666666,1.9356666666666664,1.0,4.0
19,CIFAR-10H,0.7,0.8823333333333333,0.9733333333333334,1.0636666666666668,1.9513333333333331,1.0,3.0
