dataset,q,rep,global_success,pacs_success,delta_success,global_mean_size,pacs_mean_size,delta_mean_size,global_p90_size,pacs_p90_size,delta_p90_size
NIH,0.7,11,0.9465648854961832,0.9580152671755724,0.011450381679389166,13.740458015267176,13.01526717557252,-0.7251908396946565,16.0,14.0,-2.0
NIH,0.7,12,0.8611111111111112,0.9206349206349206,0.05952380952380942,10.88888888888889,11.912698412698411,1.023809523809522,13.0,13.0,0.0
NIH,0.7,13,0.9190283400809716,0.9230769230769232,0.004048582995951677,13.279352226720649,12.740890688259109,-0.5384615384615401,16.0,14.0,-2.0
NIH,0.7,14,0.907563025210084,0.9201680672268908,0.012605042016806789,12.302521008403362,12.205882352941176,-0.09663865546218631,16.0,14.0,-2.0
NIH,0.7,15,0.8847736625514403,0.9629629629629628,0.0781893004115225,13.197530864197532,13.189300411522634,-0.008230452674897748,16.0,14.0,-2.0
NIH,0.7,16,0.8908296943231441,0.9126637554585152,0.02183406113537112,12.034934497816591,12.550218340611352,0.5152838427947604,14.0,13.0,-1.0
NIH,0.7,17,0.9375,0.9375,0.0,13.383928571428571,12.669642857142858,-0.7142857142857135,16.0,13.0,-3.0
NIH,0.7,18,0.9327731092436976,0.9327731092436976,0.0,13.470588235294118,13.134453781512605,-0.3361344537815132,16.0,14.0,-2.0
NIH,0.7,19,0.8790322580645161,0.907258064516129,0.028225806451612878,11.96774193548387,12.415322580645162,0.4475806451612918,14.0,13.0,-1.0
NIH,0.7,20,0.9130434782608696,0.9391304347826088,0.026086956521739202,12.173913043478262,12.621739130434785,0.44782608695652293,16.0,13.0,-3.0
NIH,0.7,21,0.9353448275862069,0.9655172413793104,0.030172413793103536,13.491379310344827,13.133620689655173,-0.3577586206896548,16.0,15.0,-1.0
NIH,0.7,22,0.8697478991596639,0.8991596638655462,0.02941176470588236,10.806722689075633,11.172268907563025,0.3655462184873919,13.0,13.0,0.0
NIH,0.7,23,0.8860759493670886,0.940928270042194,0.05485232067510548,12.468354430379748,13.358649789029537,0.890295358649789,16.0,14.0,-2.0
NIH,0.7,24,0.9407114624505928,0.9723320158102768,0.031620553359684056,13.438735177865611,13.474308300395258,0.035573122529646284,16.0,15.0,-1.0
NIH,0.7,25,0.8934426229508197,0.9139344262295082,0.020491803278688492,10.774590163934429,11.565573770491802,0.7909836065573739,13.0,12.0,-1.0
NIH,0.7,26,0.9404255319148936,0.9617021276595744,0.02127659574468077,13.672340425531916,13.948936170212766,0.2765957446808507,16.0,15.0,-1.0
NIH,0.7,27,0.932806324110672,0.9288537549407114,-0.0039525691699605625,14.296442687747035,13.189723320158103,-1.1067193675889317,16.0,14.0,-2.0
NIH,0.7,28,0.8577777777777778,0.8977777777777778,0.040000000000000036,10.755555555555556,11.991111111111111,1.235555555555555,13.0,13.0,0.0
NIH,0.7,29,0.9357429718875502,0.9718875502008032,0.03614457831325302,13.329317269076306,13.666666666666666,0.3373493975903603,16.0,15.0,-1.0
NIH,0.8,0,0.9163179916317992,0.9163179916317992,0.0,13.912133891213388,13.288702928870292,-0.6234309623430967,16.0,14.0,-2.0
NIH,0.8,1,0.9375,0.9017857142857144,-0.03571428571428559,14.558035714285714,13.857142857142858,-0.7008928571428559,16.0,15.0,-1.0
NIH,0.8,2,0.895397489539749,0.9372384937238494,0.04184100418410042,13.117154811715482,13.456066945606697,0.3389121338912151,16.0,15.0,-1.0
NIH,0.8,3,0.925311203319502,0.979253112033195,0.053941908713692976,14.273858921161828,14.892116182572614,0.6182572614107862,16.0,16.0,0.0
NIH,0.8,4,0.904382470119522,0.9721115537848606,0.06772908366533859,13.912350597609562,14.191235059760956,0.2788844621513942,16.0,15.0,-1.0
NIH,0.8,5,0.954954954954955,0.9504504504504504,-0.0045045045045045695,13.77027027027027,13.58108108108108,-0.18918918918918948,16.0,15.0,-1.0
NIH,0.8,6,0.8844765342960289,0.9061371841155236,0.02166064981949467,13.581227436823104,13.505415162454874,-0.07581227436823035,16.0,15.0,-1.0
NIH,0.8,7,0.8901960784313725,0.9529411764705882,0.06274509803921569,13.937254901960785,14.027450980392157,0.09019607843137223,16.0,15.0,-1.0
NIH,0.8,8,0.933609958506224,0.9626556016597512,0.0290456431535272,13.556016597510371,14.112033195020746,0.556016597510375,16.0,15.0,-1.0
NIH,0.8,9,0.9688888888888888,0.9555555555555556,-0.013333333333333197,14.164444444444444,13.8,-0.3644444444444428,16.0,15.0,-1.0
NIH,0.8,10,0.9047619047619048,0.9007936507936508,-0.003968253968253954,14.166666666666666,13.345238095238097,-0.8214285714285694,16.0,15.0,-1.0
